"","kgut","GFR_base","eta_ptKreab_base","eta_LoHKreab","eta_ptKreab_highK","dtKsec_eq","A_dtKsec","B_dtKsec","alpha_TGF","A_cdKreab","ALD_eq","m_K_ALDO","FF","A_insulin","alpha_al","beta_al"
"1",69.3269624004563,-14.752450204925,29.1236912863725,24.3853252167037,86.7571505525237,-88.1832986556139,-42.4887644165987,-83.3407331515076,-4.92621235788441,85.478502985564,-4.12081524568251,23.9015463937897,-65.6889778496843,-38.4667929630839,95.0623311768934,10.5557202656448
"2",23.8222647678514,-9.97342720501547,8.72512052409881,12.6885105297451,26.3141840160556,-94.3646327241492,-54.7894174180883,-67.4303896809737,9.7592509872588,68.7873294491456,0.935993597604714,6.56351130399393,-58.2653094199955,9.62166811158692,81.2552589718907,16.1762776712636
"3",135.773429536214,-45.9429078582019,95.7803029108987,59.1238749075694,85.7608545300926,-186.59690688609,-74.0674322275309,-104.754947065022,14.6381518445668,435.380873923201,30.5263036417958,52.1789407531489,-75.2234434556269,-35.4544689549246,96.0974202455629,107.521499365723
"4",339.783340485688,-15.3315839240861,32.5582542684321,14.3952202626306,2.81614056955348,-176.168092281948,-158.493057296496,-136.430671404951,8.64204141913106,165.242972937667,-81.6549983090064,31.1881456629158,-203.16993230775,9.25845208077227,44.7245275839813,5.37303596408044
"5",16.7836918146213,-12.3764470452566,21.5262984474587,26.1510620508158,81.1043517882586,-55.0910199378736,-54.5700543646473,-63.0702166549539,0.642962091576251,70.5544395213268,15.9576097448035,-3.92326472408186,-38.8125537874334,13.9551646427616,94.6491597232293,31.6740624627347
"6",76.7643089349145,0.225638238576522,23.0475220864828,67.8132551605493,210.206474271435,-116.239498194659,-143.278613918752,-154.880697027286,2.2654592917155,149.934495580676,26.439289279575,5.04988205411123,-174.512070374445,35.7561694268541,83.4966843116313,48.3587147634085
"7",25.0548985842307,-35.6624562766312,58.768166073079,23.1194209981265,24.5526757371364,-45.5503384186362,-80.8122812438138,-45.2398255687272,52.4714656160063,148.163608941267,39.8126909284684,-9.0653909916422,-23.8517591312633,29.9957626392508,83.9862927020241,32.1895065622986
"8",55.8620880214193,-61.9797092148304,77.5360760921737,63.355775002822,86.6406557196516,-178.938689946663,-81.4592609269862,-98.3149748709826,78.4067199830869,410.61412183782,42.5684480782582,62.1972376464606,-69.1450483505753,-30.9387303840208,67.2348863263712,90.6959318842283
"9",105.825305561171,-29.2775935403637,71.6109865964768,180.769747524798,231.247446122464,-176.263529742016,-99.873155234595,-112.364202408918,-5.29231501639146,326.357448973559,53.9813488670981,96.3239731158515,-88.5482953790966,19.1378954519544,67.9626702905136,52.9726546706527
"10",122.349176570848,-17.198485543602,31.6018250967515,53.9576435512514,91.4316832869602,-157.441680207016,-86.534649416598,-87.6840886180767,-2.03973006012788,132.060381905272,1.33383475916816,0.329533024838895,-65.2772952766863,31.2237052589299,91.1676621814562,14.9514105195955
"11",209.21854759355,-40.1204020909402,25.9462329657864,19.2114439561603,7.11539298279788,-247.66815415356,-105.618039950846,-116.933809630713,7.3859229506099,229.587119319124,21.9696271210808,81.5871493928697,-110.95471363183,31.5265398934814,82.2339476053769,24.0143882930528
"12",98.1673062291444,-34.9833943964715,33.4887185301247,185.131168647041,678.926055865833,-224.377821630611,-150.095860672255,-231.563691875574,-35.7466431008639,264.908177402669,39.9466213175282,21.4988789666722,-212.364951772565,-28.144675073392,61.5988899454878,57.5566816744542
"13",32.6811283382892,-103.067543012649,231.857872397216,53.1761358555676,-40.1933518493129,-62.080239240731,-120.87535730805,-119.806064917969,217.113725624996,251.060976685841,39.6734056420971,14.5343639031873,-120.687919194324,-32.5600635339816,70.0032775922518,46.5451011895318
"14",40.4105428722197,-45.4995311060076,46.9173743272259,64.1945217647952,124.808927299417,-78.6949922115255,-93.4212010596346,-65.3693060844068,56.8664783654891,264.009438722546,75.5342829259148,35.4550871937455,-45.8286946905115,-39.4794293889377,100.383838034083,41.8120895254751
"15",74.6653819556836,-6.6722677913421,8.98284596236138,16.2087487955793,42.9167414082382,-85.1344905844223,-111.427520058362,-78.0357087519414,-2.66090925543267,92.2332614726496,-14.4502869372546,11.1616586319777,-68.8640227819616,10.7608127788748,86.0037634260996,20.3280238153965
"16",313.847641707092,-13.0808947183016,3.78169730359495,47.7097665006859,96.3636265162178,-108.818599968393,-191.463699578912,-136.780737373734,-14.6336507188228,370.608290488515,16.1826075300644,-5.64294583031128,-165.677762248568,-39.5551015128717,92.4487383521797,98.6928731516448
"17",24.7236258019926,-48.8667506688274,67.3590849445144,53.5298060780764,119.124545216501,-83.6854421894105,-59.7404093140399,-40.0895106161427,16.0452230786156,163.536040170678,19.8620129061255,52.8207934716045,-33.0590208046374,29.034776762495,100.698755361645,69.1839701754397
"18",132.078922183206,-6.5563735199996,9.71869881084921,2.8194262527099,-0.809863632317942,-61.5925115231513,-84.6699357201667,-50.817381531974,11.1709859687215,79.5386430851627,-4.33864676664576,51.8889039546871,-110.865163798754,8.94508048879111,86.31718967273,3.81690095902506
"19",83.875243356682,-98.01684942207,132.040672884165,57.2740474494763,28.9441121365013,-95.8535472612621,-123.55120783263,-149.898437906446,172.234666331617,374.934709488003,80.083725993909,64.247724165009,-115.241753750607,17.2748033265769,61.5313750424849,74.436799276647
"20",151.025575415864,-17.8401047654694,43.2564300511861,34.9875190153141,97.8049561017725,-123.276930914756,-216.287319954585,-171.501405039829,16.6198411597655,355.645198295768,-2.57245625816751,6.00253050770221,-127.653820243166,-37.2282579315305,83.1897780439761,38.5440852903642
"21",130.284290101119,-2.82389233490573,5.61502433692155,3.97719616930353,16.5557395022306,-177.232046778985,-182.425544062499,-112.275645377858,0.708723992817584,180.85476810546,-46.9431191303139,159.411362235464,-130.093116073023,-11.3007828091957,24.6783085644004,1.38863878360424
"22",34.2249015146339,-79.3820427300638,89.4539806580266,79.2399959554576,123.455449026483,-132.6118604286,-56.4272488804826,-87.7419552835565,83.2488977184227,358.641461084518,40.3281976689891,156.133562761494,-85.6254435555789,-35.9283180016658,67.4814803289978,119.599777122122
